description,url,localisation,prix,agence,titre,infos
"Rue du Louvre - Situe au 5eme etage avec ascenseur d'un immeuble haussmannien dont les parties communes ont ete entierement renovees, cet appartement beneficie d'une superbe luminosite, de belles vues degagees, d'un large ballon filant (+ de 30 m2) et d'un tres bon plan, sans perte d'espaces. Des travaux de renovation sont a prevoir. Une cave complete ce bien.",http://www.explorimmo.com/annonce-6999474.html,"Paris 1er,",1450000,Novestia Immobilier,Vente appartement 5 pieces 122 m2,"Nombre de pieces : 5, Surface : 122 m2, Nombre de chambres : 4, Etage : 5, Energie : NC, GES : NC"
"ATYPIQUE **A deux pas de la place Vendome**Rue Danielle Casanova, dans un immeuble classe, au 4eme et dernier etage sans ascenseur, nous vous proposons un appartement atypique de 90 m2 loi Carrez et 111 m2 en habitable, tres clair, comprenant : un double sejour, une cuisine amenagee, trois chambres et une salle de bains. Une cave complete le lot. [ Chauffage electrique individuel, 23 coproprietaires, charges de copropriete 180 /mois, diagnostics complets sur demande].*** Groupe Paris Seine ***",http://www.explorimmo.com/annonce-6999864.html,Paris 1er,1180000,Paris Seine Saint-honore,Vente appartement 5 pieces 111 m2,"Nombre de pieces : 5, Surface : 111 m2, Nombre de chambres : 3, Nombre de salles de bain : 1, Type de chauffage : Chauffage electrique, Etage : 4, Cave : oui, Digicode : oui, Interphone : oui, Salle de bain : oui, Energie : D (223), GES : C (12)"
"RARE **PLACE VENDOME/RUE DANIELLE CASANOVA**En plein Coeur du Ier, a DEUX PAS DE LA PLACE VENDOME, dans un Immeuble Classe, au 3eme etage avec acces par un magnifique escalier en fer forge, un Appartement Familial traversant en Parfait Etat de 135,62 m2 loi carrez qui se compose d'un grand Sejour, trois Chambres, une Cuisine independante amenagee et equipee, deux Dressings, une Salle de bains et une Salle d'eau. Auquel s'ajoute une Cave et un Debarras. **Possibilite d'acheter un Studio de 20 m2 en",http://www.explorimmo.com/annonce-6924242.html,Paris 1er,1735000,Paris Seine Saint-honore,"Vente appartement 4 pieces 135,62 m2","Nombre de pieces : 4, Surface : 135,62 m2, Nombre de chambres : 3, Nombre de salles de bain : 1, Type de chauffage : Chauffage electrique, Cave : oui, Digicode : oui, Interphone : oui, Salle d'eau : oui, Salle de bain : oui, Energie : NC, GES : NC"
"Boutique dans les jardins du Palais Royal, Galerie Montpensier. En rez-de-chaussee sur la Galerie, 45m2, et a l'etage, communiquant par un escalier, 35m2. Pret a porter, maroquinerie, chaussures, accessoires de mode. Loyer annuel 105.865 HT. Charges 250/mois.",http://www.explorimmo.com/annonce-6776904.html,"Paris 1er,",500000,Jafis,Vente divers 80 m2,"Nombre de pieces : Non precise, Surface : 80 m2, Energie : NC, GES : NC"
"PARIS IIeme - OPERA - RUE MICHODIERE - Efficity, l'Agence qui estime votre bien en ligne, vous propose ce 3 Pieces de 63,12 M2 Loi Carrez, au 4eme etage cote cour et tres AU CALME.Cet appartement se compose d'une entree, d'un vaste sejour, d'une cuisine (possibilite d'ouvrir), de 2 chambres, de nombreux placards, une salle de bain et d'un wc. Metro OPERA et 4 septembre. Ainsi que des commerces.---------------------Efficity propose you this rare apartment of 64M2 on the 4th floor without lift with",http://www.explorimmo.com/annonce-6627106.html,"Paris 1er,",625000,Efficity,Vente appartement 3 pieces 64 m2,"Nombre de pieces : 3, Surface : 64 m2, Nombre de chambres : 2, Nombre de salles de bain : 1, Type de chauffage : Chauffage electrique, Etage : 4, Salle de bain : oui, Energie : F (340), GES : C (18)"
"Metro Louvre Rivoli, Place Des Deux Ecus, Dans un bel immeuble ancien, au 2eme etage (ascenseur en cour) bureaux libre de caractere, comprenant : une entree, 4 bureaux, une cuisine independante, un wc separee, parquet, moulures, cheminee, 3m HSP, calme et lumineux. (possibilites de changer l'affectation en habitation) A Saisir! Contact : 06.64.16.10.85. dont 2.17 % honoraires TTC a la charge de l'acquereur.",http://www.explorimmo.com/annonce-6251476.html,"Paris 1er,",940000,Premier Immobilier,Vente divers 5 pieces 84 m2,"Nombre de pieces : 5, Surface : 84 m2, Nombre de chambres : 4, Energie : NC, GES : NC"
FONDS DE COMMERCE A VENDRE - PLACE VENDOME PARIS 1er-Fonds de commerce avec despecialisation (pour cause de depart a la retraire) a ceder idealement situe place Vendome. (actuellement l'activite est du pret a porter et acitvites connexes)La superficie du local est de 32m2 avec 7m2 de reserve et 3m2 de WC avec point d'eau.Fin de bail: 31 decembre 2016Loyer: 35.000  HT/HC/ANContact: Emmanuelle 06.75.73.04.11,http://www.explorimmo.com/annonce-2078218.html,Paris 1er,875500,Aream Vente,Vente divers 2 pieces 32 m2,"Nombre de pieces : 2, Surface : 32 m2, Nombre de chambres : 1, Energie : NC, GES : NC"
"PARIS 1ER - LES HALLES / PONT NEUF - Ligne Directe: 01.40.20.93.95 - Rue Saint Honore - Chambre de service avec tout le confort (WC, douche) meublee en parfait etat, donnant sur cour, au 3eme etage d'un immeuble ancien tres bien tenu. Idealement placee. Le charme de l'ancien est present avec parquet et poutres. Ideal pour un pied a terre, pour un etudiant ou bureau d'appoint. Bien soumis au statut de la copropriete. 1 lot sur 16. Quote-part budget previsionnel de 280,15 euros/an. Pas de procedure",http://www.explorimmo.com/annonce-4671348.html,Paris 1er,69000,Fortis Immo Paris 1 (century 21),"Vente studio 6,22 m2","Nombre de pieces : 1, Surface : 6,22 m2, Etage : 3, Energie : E (277), GES : C (13)"
"Rue du Louvre, Aux Derniers Etages d'un Immeuble Ancien, Duplex contemporain de 430m2 avec 55m2 de Terrasse. Grande Reception, Quatre Chambres, Quatre Salles de Bains, Salle de Cinema, Vue exceptionnelle sur les Tuileries / Louvre et Tour Eiffel. Domotique. Mickael Cherki",http://www.explorimmo.com/annonce-30565264-1.html,Paris 1er,18000000,Mc Immo,Vente appartement 10 pieces 430 m2,"Nombre de pieces : 10, Surface : 430 m2, Nombre de chambres : 4, Statut : libre, Etage : Dernier etage, Terrasse : oui, Energie : NC, GES : NC"
PARIS 1ER - PYRAMIDES IMMEUBLE PDT STANDING avec Ascenseur - BEL APPARTEMENT 136 m2 vendu occupe (locataire agee de 93 ans) - BELLE RECEPTION + 2 CHAMBRES + BALCONS FILANTS - vues degagees - Nous telephoner pour plus de details,http://www.explorimmo.com/annonce-7014946.html,"Paris 1er,",1370000,A1 Palais Royal Immobilier,"Vente appartement 4 pieces 136,3 m2","Nombre de pieces : 4, Surface : 136,3 m2 (loi carrez), Nombre de chambres : 2, Nombre de salles de bain : 1, Statut : occupe, Etage : 5, Exposition : Sud-Ouest, Ascenseur : oui, Balcon : oui, Cheminee : oui, Digicode : oui, Interphone : oui, Salle de bain : oui, Vue degagee : oui, Energie : C (135), GES : D (26)"
"DANS BEL IMMEUBLE DIRECTOIRE, 3eme ETAGE, APPARTEMENT SUPERBE ET PLEIN DE CHARME DE 150 m2, DOUBLE EXPOSITION EST-OUEST, RAVISSANTE ENTREE, 2 BELLES RECEPTIONS, 2 CHAMBRES, MAGNIFIQUE SALLE DE BAIN, SALLE DE DOUCHE, CUISINE DINATOIRE, TOILETTE D'INVITE ET UN DEBARRAS. PORTABLE 06 80 42 59 79.",http://www.explorimmo.com/annonce-321796.html,"Paris 1er,",2200000,Nicolle Bougue Le Febvre - Nblf Conseil Immobilier,Vente appartement 4 pieces 147 m2,"Nombre de pieces : 4, Surface : 147 m2 (loi carrez), Nombre de chambres : 2, Nombre de salles de bain : 2, Type de chauffage : Habitat collectif, Statut : libre, Etage : 3, Exposition : Est, Energie : NC, GES : NC"
"Paris1er - Cadre unique. Quartier Palais Royal. Dans l'immeuble du XVIIIe de tres grand standing. Luxueux appartement de123m2. 4 pieces sur jardin: Entree, sejour de 45m2, cuisine, 2 chambres, 2 salles de bains. Belle hauteur sous plafond.Prestation de grande qualite. Excellent etat. Au calme. Possibilite vente de parking dans l'immeuble. Contactez votre agent local Jean Claude BIBAS a PARIS 7EME ARRONDISSEMENT Agent commercial, conseiller en immobilier SAS Optimhome au 06 34 49 66 10 - Plus d'informations",http://www.explorimmo.com/annonce-2024970.html,Paris 1er,1980000,Optimhome,Vente appartement 4 pieces 123 m2,"Nombre de pieces : 4, Surface : 123 m2, Nombre de chambres : 2, Nombre de salles de bain : 2, Type de chauffage : Chauffage electrique, Etage : 1, Exposition : Non precise, Ascenseur : oui, Interphone : oui, Salle de bain : oui, Energie : C (128), GES : A (5)"
"Metro Louvre / Rivoli ,appartement 2 pieces de 23,71 m2, cuisine separee, cave, 4e etage sans ascenseur, calme, bon etat, dans immeuble pierres de taille, parties communes en cours de refection, vendu occupe en loi 48 par personne agee, loyer annuel: 2 101 .",http://www.explorimmo.com/annonce-2825902.html,Paris 1er,249000,Vaneau Investisseurs,"Vente appartement 2 pieces 23,71 m2","Nombre de pieces : 2, Surface : 23,71 m2, Nombre de chambres : 1, Etage : 4, Exposition : Non precise, Energie : NC, GES : NC"
"A l'angle de Pyramide et de la rue Saint Honore, appartement de 5 pieces dans un immeuble de prestige, appartement de reception de de 205 m2 comprenant un double sejour salle a manger bureau donnat sur balcon, 2 chambres, 2 salles de bains, cuisine dinatoire. Parfait etat tres belle hauteur sous plafond parquet moulures et cheminees. Luxe charme et confort. dont 3.85 % honoraires TTC a la charge de l'acquereur.",http://www.explorimmo.com/annonce-3064018.html,Paris 1er,2984800,Etude Doumer,Vente appartement 5 pieces 140 m2,"Nombre de pieces : 5, Surface : 140 m2, Nombre de chambres : 2, Etage : 1, Ascenseur : oui, Balcon : oui, Digicode : oui, Interphone : oui, Energie : G, GES : F"
"Consult-im, M Etienne Marcel, quartier Montorgueil, a louer au 4eme etage avec ascenseur d'un bel immeuble pierre de paris, bureaux en bon etat, comprenant : entree, un open space de 20 m2, un bureau et un bureau de direction, un sanitaire un local archives et un espace cuisine. Parquet. Lumineux. Bail derogatoire. Possibilite surfaces complementaires dans l'immeuble.",http://www.explorimmo.com/annonce-3862368.html,Paris 1er,Prix NC,Consult'im,Vente divers 63 m2,"Nombre de pieces : Non precise, Surface : 63 m2, Exposition : Non precise, Energie : NC, GES : NC"
"Dans un Immeuble Haussmanien de tres bon standing a deux pas de l'Avenue de l'Opera, M Pyramides, bureaux a usage PROFESSIONNEL d'une surface de 89 m2 a louer, au 6eme etage avec ascenseur, comprenant : une entree accueil, un open space, 2 bureaux et sanitaires. Disponible de suite. Prestations : Ascenseur;Gardiennage;Moquette;Cablage informatique",http://www.explorimmo.com/annonce-4119276.html,Paris 1er,Prix NC,Consult'im,Vente divers 3 pieces 89 m2,"Nombre de pieces : 3, Surface : 89 m2, Nombre de chambres : 2, Exposition : Non precise, Energie : NC, GES : NC"
"Place Dauphine : Dans un immeuble du 17eme siecle, situe au 1er etage avec ascenseur, un appartement de 52 m2. Cet appartement beneficie d'une distribution en etoile, comprenant un sejour de 21 m2, une chambre, une cuisine amenagee, une salle d'eau avec WC. Appartement de charme avec poutres apparentes et parquet Nombre de lots : 15 - Charges annuelles moyenne : 1.380  - Soumis au statut de la copropriete",http://www.explorimmo.com/annonce-3576654.html,Paris 1er,777000,Agence Vaneau,Vente appartement 2 pieces 52 m2,"Nombre de pieces : 2, Surface : 52 m2, Nombre de chambres : 1, Nombre de salles de bain : 1, Etage : 1, Exposition : Non precise, Ascenseur : oui, Salle de bain : oui, Energie : E (280), GES : E (50)"
"A proximite des jardins du Palais Royal, dans un immeuble ancien du XVIIe siecle, un appartement de trois pieces, d'une superficie de 65 m2 Loi Carrez, situe au deuxieme etage. Il comprend une entree, un salon de 25 m2 avec un beau balcon, une cuisine, deux chambres, une salle de bains et des toilettes separees. Le tout est en parfait etat. Poutres, parquet et mur en pierres apparentes. Calme et clair.",http://www.explorimmo.com/annonce-4151728.html,"Paris 1er,",840000,Daniel Feau Conseil Immobilier Marais,Vente appartement 3 pieces 66 m2,"Nombre de pieces : 3, Surface : 66 m2, Nombre de chambres : 2, Type de chauffage : Gaz, Etage : 2, Balcon : oui, Cheminee : oui, Interphone : oui, Energie : NC, GES : NC"
"Rue du Mont-Thabor, dans un immeuble ancien, aux 3eme et 4eme etages avec ascenseur, un exceptionnel appartement traversant de 266 m2 Loi Carrez (275m2 au sol) avec de beaux volumes et une decoration contemporaine de grande qualite, comprenant :Au 3eme etage: Une entree, un salon, salle a manger-cuisine ouverte, une chambre, salle de bains, bureau.Au 4eme etage:Un salon, 4 chambres, 2 salles de bains, un bureau ou 6eme chambre, une buanderie.Annexes: un appartement 1 piece independant, 2 caves, possibilite",http://www.explorimmo.com/annonce-4286926.html,"Paris 1er,",4090000,Proprietes Parisiennes Sotheby's,Vente appartement 6 pieces 266 m2,"Nombre de pieces : 6, Surface : 266 m2, Nombre de chambres : 6, Nombre de salles de bain : 3, Terrain : 275 m2, Etage : 3, Exposition : Non precise, Ascenseur : oui, Cave : oui, Salle de bain : oui, Energie : NC, GES : NC"
"Vanessa Zucchelli, Conseillere en Immobilier Paris 06.40.30.42.39, vous propose ce lot de deux charmants duplex avec poutres apparentes et parquet massif, tous deux reunis par une meme entree avec balcon. D'une surface de 38m2 au sol et 31,09m2 carrez, le premier se compose d'un vaste sejour traversant avec cuisine americaine amenagee ainsi qu'un balcon donnant sur l'eglise St Eustache, une chambre au 1er etage au calme avec salle de bain et WC. Le second, d'une surface au sol de 40,62m2 et 31,57m2",http://www.explorimmo.com/annonce-3538260.html,Paris 1er,990000,Optimhome,Vente appartement 4 pieces 92 m2,"Nombre de pieces : 4, Surface : 92 m2, Nombre de chambres : 2, Nombre de salles de bain : 2, Etage : 4, Exposition : Non precise, Salle de bain : oui, Energie : NC, GES : NC"
"Appartement - Louvre / Rivoli. Dans une belle renovation, un appartement plein Sud de 42m2.. Au 3eme etage avec ascenseur, au calme sur une belle cour arboree plein Sud, un appartement compose d'un living avec cuisine ouverte, une chambre, une salle de bains avec wc et grand debarras.",http://www.explorimmo.com/annonce-3879210.html,Paris 1er,550000,District Ile St Louis,Vente appartement 2 pieces 41 m2,"Nombre de pieces : 2, Surface : 41 m2, Nombre de chambres : 1, Nombre de salles de bain : 1, Type de chauffage : Chauffage electrique, Exposition : Non precise, Ascenseur : oui, Digicode : oui, Interphone : oui, Salle de bain : oui, Energie : NC, GES : NC"
PLACE VENDOME: Parking en concession jusqu'en spetembre 2032,http://www.explorimmo.com/annonce-4528374.html,Paris 1er,33000,Haussmann Invest,Vente parking 12 m2,"Surface : 12 m2, Exposition : Non precise, Energie : NC, GES : NC"
Au coeur des Halles - Fontaine des Innocents - Bel immeuble PdT XVIIeS - Actuel Local commercial ou d'activite a transformer en Appartement/Loft/Duplex - Ideal profession liberal - en rez-de-cour 65m2 sur de belles caves voutees de 35 m2 par escalier interieur -Travaux d'amenagement a prevoir - Disponible immediatement,http://www.explorimmo.com/annonce-4786408.html,Paris 1er,420000,Agence Pierres Sa,Vente appartement 4 pieces 100 m2,"Nombre de pieces : 4, Surface : 100 m2, Nombre de chambres : 3, Exposition : Non precise, Digicode : oui, Energie : NC, GES : NC"
Au coeur des Halles - Fontaine des Innocents - Bel immeuble PdT XVIIeS - Local commercial ou Ideal Profession Liberale - en rez-de-cour 65m2 sur de belles caves voutees de 35 m2 par escalier interieur -Travaux d'amenagement a prevoir - Disponible immediatement,http://www.explorimmo.com/annonce-4786412.html,Paris 1er,420000,Agence Pierres Sa,Vente divers 4 pieces 100 m2,"Nombre de pieces : 4, Surface : 100 m2, Nombre de chambres : 3, Exposition : Non precise, Digicode : oui, Energie : NC, GES : NC"
"APPARTEMENT 1 CHAMBRE - JEAN JACQUES ROUSSEAU - RENOVE Ce bien est situe rue Jean Jacques Rousseau dans le 1er arrondissement au 1er etage sur cour dans un magnifique immeuble ancien avec gardien. L'appartement se compose d'une entree, d'une cuisine ouverte entierement equipee sur un beau sejour, d'une grande chambre avec degagement pouvant faire office de bureau ou de chambre d'appoint, d'une salle de bains avec douche a l'italienne et baignoire. Une cave complete le bien. - 1-BEDROOM APARTMENT",http://www.explorimmo.com/annonce-32479505-1.html,Paris 1er,630000,Barnes Pied-a-terre Saint-honore,Vente appartement 3 pieces 58 m2,"Nombre de pieces : 3, Surface : 58 m2, Nombre de chambres : 1, Energie : NC, GES : NC"
"Metro Louvre-Rivoli Dans un bel immeuble ancien, au 4eme etage sans ascenseur, 3/4 pieces de 98m2, comprenant: un sejour salle a manger (24m2), une cuisine independante dinatoire, 2 chambres, 1 bureau, 2 salle de bain avec WC, clair et calme, parquet, moulures et cheminees. A saisir! Contact : 06.64.16.10.85.",http://www.explorimmo.com/annonce-4877940.html,"Paris 1er,",980000,Premier Immobilier,Vente appartement 3 pieces 98 m2,"Nombre de pieces : 3, Surface : 98 m2, Nombre de chambres : 3, Nombre de salles de bain : 1, Etage : 4, Salle d'eau : oui, Salle de bain : oui, Energie : NC, GES : NC"
"Rue Saint Honore, a deux pas de la place Vendome, dans un tres bel immeuble ancien type hotel particulier R+4, locaux en duplex avec parquet point de Hongrie, moulures, cheminees, situes au 3eme et 4eme etage avec ascenseur se composant au 3eme etage (187 m2) d'un accueil desservant 3 bureaux sur rue, 2 sur cour, une cuisine et un bloc sanitaires, au 4eme etage, accessible via un escalier interieur (38m2 pondere a 14) : 2 pieces mansardees pouvant servir de bureau d'appoint et stockage. Cablage informatique.",http://www.explorimmo.com/annonce-4959356.html,Paris 1er,Prix NC,Consult'im,Vente divers 3 pieces 201 m2,"Nombre de pieces : 3, Surface : 201 m2, Nombre de chambres : 2, Exposition : Non precise, Energie : NC, GES : NC"
"A vendre Paris 1er Place Dauphine joli duplex de 110 m2 avec vue sur la Seine et le Pont-Neuf, Metro Pont-Neuf. Duplex dans un immeuble du 17eme. Au rez-de-chaussee actuellement une boutique, au 1er etage avec ascenseur, appartement sur rue de 2 pieces de 52 m2 avec une distribution en etoile comprenant un sejour de 21 m2, une chambre, une cuisine amenagee, une salle d'eau avec WC. Poutres apparentes, parquet, carrelage. Chauffage individuel electrique. Digicode. Renseignements et visites 7/7 au",http://www.explorimmo.com/annonce-5018778.html,"Paris 1er,",1574000,Emporio Estate Group - Haussmann Prestige,Vente appartement 3 pieces 110 m2,"Nombre de pieces : 3, Surface : 110 m2, Nombre de chambres : 2, Nombre de salles de bain : 1, Salle de bain : oui, Energie : NC, GES : NC"
"Paris 1er, Quartier Palais Royal. Dans un immeuble de caractere. Studio de 18m2 au 3eme etage sur cour avec ascenseur.Piece a vivre, kitchenette, salle d'eau avec wc. Vue degagee. Clair. Au calme. Chauffage electrique. Porte blindee, digicode.Cave. Contactez votre agent local Jean Claude Et Daniela BIBAS a PARIS 7EME ARRONDISSEMENT Agent commercial, conseiller en immobilier SAS Optimhome au 06 34 49 66 10 - Plus d'informations sur http://www.bibas.optimhome.com (ref. 830030083313 / 291697)",http://www.explorimmo.com/annonce-5024408.html,Paris 1er,263000,Optimhome,Vente studio 18 m2,"Nombre de pieces : 1, Surface : 18 m2, Type de chauffage : Chauffage electrique, Etage : 3, Exposition : Non precise, Ascenseur : oui, Salle d'eau : oui, Energie : NC, GES : NC"
PARIS PLACE VENDOME BOUTIQUE EMPLACEMENT NUMERO 1 A CEDER FOND DE COMMERCE ACTUELLEMENT PRET A PORTER LUXE REZ DE CHAUSSEE + CAVE CONVIENDRAIT POUR COMMERCE DE LUXE CAR EMPLACEMENT PREMIER ORDRE. CE LOCAL DISPOSE DE DEUX GRANDES BAIES VITRES AVEC TROIS ENTREES. POSSIBILITE BOX OU PARKING.,http://www.explorimmo.com/annonce-4636440.html,Paris 1er,1200000,Panel Immobilier,Vente divers 1 piece 36 m2,"Nombre de pieces : 1, Surface : 36 m2, Parking : oui, Salle d'eau : oui, Energie : G (451), GES : G (81)"
"BEL APPARTEMENT 5 PIECES - 3 CHAMBRES - 75001 - LOUVRE Cet appartement allie le calme (sur 3 cours) et une grande luminosite car en etage eleve. En plein c ur du quartier du Louvre/Palais Royal, ce bien se compose d'une grande entree amenageable, d'un salon et d'une chambre pouvant etre transformes en grand double sejour si besoin. Deux autres chambres completent ce bien ainsi qu'une cuisine, une salle de bain, WC separes et une cave. Plusieurs dispositions sont possibles. La pose d'un IPN a par",http://www.explorimmo.com/annonce-32539436-1.html,Paris 1er,1200000,Barnes Pied-a-terre Saint-honore,Vente appartement 5 pieces 95 m2,"Nombre de pieces : 5, Surface : 95 m2, Nombre de chambres : 3, Energie : NC, GES : NC"
"Avec des vues directes sur la Place Dauphine et le Palais de Justice, au sein d'une copropriete datant de 1780 dont les parties communes ont ete refaites, duplex de charme situe aux 2eme et 3eme etages.D'une surface au sol de 53,28 m2 (50,30 m2 loi Carrez), cet appartement comprend:Une entree donnant directement sur un salon avec cheminee (3.8m de hauteur sous plafond) et vues sur la placeUne cuisine americaine equipeeA l'etage une grande chambre avec placards Une grande salle de bainsWC separesNombreux",http://www.explorimmo.com/annonce-5066286.html,"Paris 1er,",990000,John Taylor - Paris 8,Vente appartement 2 pieces 53 m2,"Nombre de pieces : 2, Surface : 53 m2, Nombre de chambres : 1, Etage : 2, Energie : F (346), GES : D (30)"
"Appartement ancien, quartier des Halles/Montorgueil au 3eme etage. Spacieux (59m2) avec belle piece a vivre, cuisine americaine, 2 chambres (donnant sur cour). Tres lumineux (orientation Sud). Poutres apparentes, cheminee. Belle prestation. 595000Eur FAI (3,48% frais d'agence). En exclusivite Axo&Actifs. Surface CARREZ : 58 m2 Surface CARREZ : 58 m2 Contactez Stephane BERLAUD au 06 22 57 38 70, AXO ET ACTIFS - A&A Immobilier, Agent Commercial RSAC 791.356.116 Paris, Plus d'informations sur www.axo-actifs.fr",http://www.explorimmo.com/annonce-5178178.html,"Paris 1er,",595000,Axo & Actifs - A&a Immobilier,Vente appartement 4 pieces 59 m2,"Nombre de pieces : 4, Surface : 59 m2, Nombre de chambres : 2, Type de chauffage : Gaz, Etage : 3, Exposition : Non precise, Cheminee : oui, Salle d'eau : oui, Energie : E (282), GES : F (66)"
"Place du Marche Saint Honore / Place Vendome /Jardin des Tuileries - rue d'Alger. Dans un immeuble ancien de standing, studio en bon etat general de 22 m2 au sol situe au 6eme etage avec ascenseur jusqu'au 5eme ensoleille et calme comprenant: une piece principale avec une cuisine ouverte equipee (plaques vitroceramique, frigidaire et placards) et une salle d'eau avec douche a l'italienne et WC (emplacement pour machine). Proche commerces et transports (Metro Tuileries). Ideal investisseur ou pied a terre.",http://www.explorimmo.com/annonce-5255086.html,"Paris 1er,",295000,Immokov,Vente studio 22 m2,"Nombre de pieces : 1, Surface : 22 m2, Nombre de salles de bain : 1, Type de chauffage : Chauffage electrique, Etage : 6, Ascenseur : oui, Interphone : oui, Salle d'eau : oui, Energie : NC, GES : NC"
"Duplex en plein coeur du quartier Saint Germain l'Auxerrois dans un ancien hotel particulier du debut 18eme. Belle piece a vivre, HSP 4,02m, deux grandes fenetres donnant sur une cour calme expo SE. Surface au sol 56.89m2 dont 35.85 Carrez. Grande mezzanine servant de chambre, possibilite coin bureau. Cuisine separee, SDB et toilettes separes, rangements sur mesures. Copro parfaitement entretenue. Gardienne et ascenseur. Copropriete : Nb de lots : 47 Budget previsionnel a la charge du vendeur",http://www.explorimmo.com/annonce-5364950.html,Paris 1er,515000,Fortis Immo Paris 1 (century 21),"Vente appartement 2 pieces 56,89 m2","Nombre de pieces : 2, Surface : 56,89 m2, Nombre de chambres : 1, Etage : 1, Energie : NC, GES : NC"
"Place Dauphine, proche du quai de Seine, dans un immeuble du XVIIeme siecle avec vue sur la place. Un appartement de charme, compose d'un sejour avec une cuisine americaine equipee, poutres apparentes, une chambre, une salle de bains avec wc. A l'etage superieur, une entree, deux petites chambres dans les combles et un toilette. Magnifique appartement de caractere. Possibilite de parking en sus",http://www.explorimmo.com/annonce-32376550-1.html,"Paris 1er,",990000,Agence Dauphine Rive Gauche,Vente appartement 3 pieces 60 m2,"Nombre de pieces : 3, Surface : 60 m2, Nombre de chambres : 1, Etage : 7eme etage, Duplex : oui, Ascenseur : oui, Energie : NC, GES : NC"
"Rue Therese, dans un bel immeuble de 1628, aux 3 derniers etages sans ascenseur, un appartement calme et ensoleille d'environ 140m2. Au 3eme etage Entree Petit bureau ou chambre Salle d'eau Au 4eme etage Salle a manger Chambre Dressing Salle de bains Cuisine Au 5eme etage Grand salon traversant a plafond cathedrale Terrasse de 5m2 Exclusivite",http://www.explorimmo.com/annonce-5407676.html,"Paris 1er,",1660000,Philippe Menager & Nicolas Hug,Vente appartement 4 pieces 125 m2,"Nombre de pieces : 4, Surface : 125 m2, Nombre de chambres : 1, Nombre de salles de bain : 1, Etage : 3, Exposition : Non precise, Digicode : oui, Salle d'eau : oui, Salle de bain : oui, Terrasse : oui, Energie : NC, GES : NC"
"Rue de Beaujolais, au 4eme etage avec ascenseur d'un immeuble de la fin du XVIIIeme siecle, un appartement traversant de 110 m2 environ, expose plein sud sur le jardin, ouvrant sur un balcon filant et offrant une vue magnifique. Entree Double reception traversante avec 2 portes-fenetres sur balcon et vue, 2 sur cour Chambre avec porte-fenetre sur balcon et vue Salle de bains Grand dressing Salle a manger traversante sur rue de Beaujolais et cour Cuisine 2 chambres de service",http://www.explorimmo.com/annonce-5357312.html,"Paris 1er,",3400000,Philippe Menager & Nicolas Hug,Vente appartement 3 pieces 109 m2,"Nombre de pieces : 3, Surface : 109 m2, Nombre de chambres : 1, Nombre de salles de bain : 1, Etage : 4, Exposition : Non precise, Ascenseur : oui, Balcon : oui, Cheminee : oui, Salle de bain : oui, Energie : NC, GES : NC"
"Situe au coeur de Paris, cet appartement se compose d'une entree, d'une grande piece a vivre avec cuisine ouverte et coin nuit, une salle d'eau et wc separes. - Located in the heart of Paris, this apartment is composed of an entrance, a large living-room, with poen kitchen, a bathroom and independent toilet-room.",http://www.explorimmo.com/annonce-32613184-1.html,Paris 1er,460000,Barnes Pied-a-terre Saint-honore,Vente studio 34 m2,"Nombre de pieces : 1, Surface : 34 m2, Energie : NC, GES : NC"
"VISITES 7/7 - Rue de la Ferronnerie, Paris 1er arr. - Beau Studio 24,5 m2 oriente Sud, en tres bon etat, dans un immeuble XIX, 4e etage, (ascenseur des le 1er). Compose d'une piece de vie avec deux grandes fenetres, cuisine americaine equipee avec placards, plan de travail en materiau mineral, et Salle de douche. Bien agence, lumineux et calme. A proximite des transports et commerce. Organiser une visite, et d'avantages d'informations en nous contactant.",http://www.explorimmo.com/annonce-4719958.html,"Paris 1er,",315000,Cesar Et Brutus,Vente studio 25 m2,"Nombre de pieces : 1, Surface : 25 m2 (loi carrez), Nombre de salles de bain : 1, Etage : 4, Exposition : Sud, Ascenseur : oui, Digicode : oui, Salle d'eau : oui, Energie : NC, GES : NC"
"PARIS 1er - PALAIS ROYAL / PLACE DES VICTOIRES - Ligne directe 01 40 20 93 95 - Belle situation pour ce studio en plein coeur de Paris, face a la Banque de France, au 5eme etage d'une petite copropriete bien entretenue. Secteur et surface tres recherches. Bon etat general de l'appartement, calme et lumineux. Couchage en mezzanine. Bien soumis au statut de la copropriete. 1/14 lots. Quote part budget previsionnel de 540 . Copropriete : Nb de lots : 14 Budget previsionnel a la charge du vendeur",http://www.explorimmo.com/annonce-5648638.html,Paris 1er,167000,Fortis Immo Paris 1 (century 21),"Vente studio 12,56 m2","Nombre de pieces : 1, Surface : 12,56 m2, Etage : 5, Energie : NC, GES : NC"
"Etienne Marcel. Dans un tres bel immeuble. Un appartement de 243 m2 au 1er etage avec 3 m de hauteur sous planfond comprenant une entree, un grand Sejour de 100 m2 sous verriere possibilite chambres, nombreux dressing. A amenager brut de beton et tres rare dans le quartier. EXCEPTIONNEL. 06.15.61.12.42.",http://www.explorimmo.com/annonce-4811538.html,"Paris 1er,",1880000,Novare Agency,Vente appartement 7 pieces 243 m2,"Nombre de pieces : 7, Surface : 243 m2, Nombre de chambres : 4, Nombre de salles de bain : 1, Ascenseur : oui, Digicode : oui, Interphone : oui, Salle de bain : oui, Energie : NC, GES : NC"
